count_11_00	count_11_15	count_11_60	count_12_00	count_12_15	count_12_60	count_13_00	count_13_15	count_13_60
BnaA01g02100D	2835	3613	3259	1381	1376	1615	4438	4444	3216
BnaA01g02110D	4	4	2	1	13	0	5	7	1
BnaA01g02120D	11	10	2	22	8	11	3	7	1
BnaA01g02130D	303	444	256	417	381	332	437	485	321
BnaA01g02140D	3	0	0	0	2	0	1	1	0
BnaA01g02150D	1	6	3	2	0	0	1	4	0
BnaA01g02160D	5227	6810	5116	5269	4933	4680	6720	6741	5691
BnaA01g02170D	565	758	608	437	368	376	619	576	530
BnaA01g02180D	1153	1574	1812	2440	2532	2682	1894	2172	2111
BnaA01g02190D	4442	6114	5732	6611	6360	6161	6577	7020	7094
BnaA01g02200D	0	1	0	2	0	0	2	0	0
BnaA01g02210D	51	73	60	125	112	116	138	158	112
BnaA01g02220D	36	42	55	43	47	19	65	83	63
BnaA01g02230D	0	2	2	1	1	3	4	2	0
BnaA01g02240D	231	281	538	261	258	286	561	372	2175
BnaA01g02250D	1	0	2	0	0	0	1	0	0
BnaA01g02260D	1060	1307	822	1264	1194	1003	1223	1226	1005
BnaA01g02270D	22	15	17	28	19	14	36	33	39
BnaA01g02280D	73	118	57	231	209	148	78	123	60
BnaA01g02290D	404	572	332	546	598	438	519	582	354
BnaA01g02300D	4456	5823	3829	6348	6196	5363	5379	5702	3723
BnaA01g02310D	15	20	11	7	13	5	16	15	0
BnaA01g02320D	7	6	4	7	9	2	15	17	12
BnaA01g02330D	114	186	169	90	62	92	240	250	217
BnaA01g02340D	5378	11618	16771	6532	9308	15821	3622	6453	9375
BnaA01g02350D	7	6	6	6	8	9	12	23	22
BnaA01g02360D	1	3	2	2	2	2	4	1	3
BnaA01g02370D	494	718	580	646	588	608	1079	1185	1044
BnaA01g02380D	1	2	0	0	1	1	2	0	0
BnaA01g02390D	0	0	0	2	0	0	0	0	0
BnaA01g02400D	0	0	0	0	1	0	0	0	0
BnaA01g02410D	0	0	0	0	0	0	0	0	0
BnaA01g02420D	0	0	0	0	0	0	0	0	0
BnaA01g02430D	52	73	111	91	157	122	60	76	94
BnaA01g02440D	228	358	366	562	507	655	536	528	626
BnaA01g02450D	20	24	13	15	9	9	17	30	5
BnaA01g02460D	7	11	5	5	13	12	5	8	0
BnaA01g02470D	207	267	184	142	120	129	342	240	209
BnaA01g02480D	209	358	168	154	141	80	369	359	334
BnaA01g02490D	372	487	324	308	249	238	724	715	669
BnaA01g02500D	1350	1804	1393	1837	1568	1471	1595	1749	1462
BnaA01g02510D	83	122	90	104	80	67	169	168	128
BnaA01g02520D	414	536	471	709	571	623	695	744	646
BnaA01g02530D	2966	4888	6605	7012	6919	10091	4448	5512	7388
BnaA01g02540D	121	154	100	126	96	104	176	211	124
BnaA01g02550D	0	0	0	0	0	0	0	0	0
BnaA01g02560D	21	20	16	1	0	3	0	2	3
BnaA01g02570D	103	225	350	123	123	301	173	294	484
BnaA01g02580D	17	30	23	10	5	12	48	47	51
BnaA01g02590D	282	338	276	414	383	343	498	477	318
BnaA01g02600D	1	0	0	4	0	0	1	0	0
BnaA01g02610D	2	1	1	0	1	1	12	1	2
BnaA01g02620D	41	40	43	45	22	51	78	92	64
BnaA01g02630D	339	424	370	493	504	548	553	655	527
BnaA01g02640D	849	1090	1363	1059	1042	1340	774	976	1409
BnaA01g02650D	91	113	107	114	105	87	31	56	47
BnaA01g02660D	1867	2488	1975	3040	2785	2426	2287	2312	2318
BnaA01g02670D	1625	2229	1819	1504	1533	1478	2156	2626	2190
BnaA01g02680D	19	36	34	23	47	62	20	26	23
BnaA01g02690D	1958	2985	2144	3048	3019	2919	2363	2574	2174
BnaA01g02700D	0	0	0	0	0	0	0	0	0
BnaA01g02710D	23	24	22	38	47	54	42	58	39
BnaA01g02720D	1563	2438	2752	4370	4274	5831	1155	1413	1605
BnaA01g02730D	1	1	1	1	2	8	6	0	1
BnaA01g02740D	3383	4725	4098	5856	5301	4911	4364	4415	4125
BnaA01g02750D	2	2	3	6	0	0	2	3	7
BnaA01g02760D	0	1	1	0	0	6	0	3	0
BnaA01g02770D	2381	3365	3420	3802	3648	3838	2948	3254	3586
BnaA01g02780D	2318	3344	3740	5482	4926	5631	1661	1750	2944
BnaA01g02790D	696	961	763	1523	1518	1174	966	894	754
